date,title,price
2020-03-25,Someone Who Will Love You in All Your Damaged Glory: Stories,317.54
2020-03-25,"Runaway Horses: The Sea of Fertility, 2",330.43
2020-03-25,"Anger and Forgiveness: Resentment, Generosity, Justice",488.13
2020-03-25,Before the Coffee Gets Cold,298.9
2020-03-25,Human Acts,374.01
2020-03-26,Confessions of a Mask,274.41
2020-03-26,The Hunger Games Trilogy Boxed Set,793.69
2020-03-26,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-26,I'm Thinking of Ending Things,223.0
2020-03-26,The Godfather,315.51
2020-03-26,Colorless Tsukuru Tazaki and His Years of Pilgrimage,550.12
2020-03-26,The Remains of the Day,448.36
2020-03-26,The Elephant Vanishes,308.26
2020-03-26,No Longer Human,275.41
2020-03-26,La Inmortalidad,248.0
2020-03-26,"Call Me by Your Name, Portada puede variar",295.46
2020-03-26,Strange Weather in Tokyo,320.52
2020-03-26,Kokoro,282.0
2020-03-26,Notre Dame de París / Notre-Dame of Paris,299.49
2020-03-26,Memoirs of a Geisha,400.72
2020-03-26,Dance Dance Dance,292.98
2020-03-26,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-26,God Help the Child,400.47
2020-03-26,Anna Karenina,370.0
2020-03-26,The Selfish Gene: 40th Anniversary Edition,240.32
2020-03-26,The Hate U Give Collector's Edition,262.88
2020-03-26,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-26,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-26,Pedro y el capitán,99.0
2020-03-26,All My Sons,223.0
2020-03-26,Persona: A Biography of Yukio Mishima,981.2
2020-03-26,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-26,On Confidence,223.0
2020-03-26,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,317.27
2020-03-26,Relationships,296.0
2020-03-26,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-26,Chaos: Making a New Science,375.66
2020-03-26,A Darker Shade of Magic,285.44
2020-03-26,From Disgust to Humanity: Sexual Orientation and Constitutional Law,562.68
2020-03-26,Beyond Good and Evil,314.4
2020-03-26,"The Hobbit: Or, There and Back Again",257.89
2020-03-26,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-26,The Whale That Fell in Love with a Submarine,353.37
2020-03-26,Shōgun: The Epic Novel of Japan,667.5
2020-03-26,Someone Who Will Love You in All Your Damaged Glory: Stories,318.59
2020-03-26,"Runaway Horses: The Sea of Fertility, 2",323.05
2020-03-26,"Anger and Forgiveness: Resentment, Generosity, Justice",488.13
2020-03-26,Before the Coffee Gets Cold,312.77
2020-03-26,Human Acts,365.66
2020-03-27,Confessions of a Mask,264.56
2020-03-27,The Hunger Games Trilogy Boxed Set,765.21
2020-03-27,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-27,I'm Thinking of Ending Things,223.0
2020-03-27,The Godfather,304.19
2020-03-27,Colorless Tsukuru Tazaki and His Years of Pilgrimage,468.76
2020-03-27,The Remains of the Day,432.27
2020-03-27,The Elephant Vanishes,297.2
2020-03-27,No Longer Human,265.53
2020-03-27,La Inmortalidad,248.0
2020-03-27,"Call Me by Your Name, Portada puede variar",284.86
2020-03-27,Strange Weather in Tokyo,309.02
2020-03-27,Kokoro,280.03
2020-03-27,Notre Dame de París / Notre-Dame of Paris,288.74
2020-03-27,Memoirs of a Geisha,386.34
2020-03-27,Dance Dance Dance,282.46
2020-03-27,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-27,God Help the Child,386.1
2020-03-27,Anna Karenina,370.0
2020-03-27,The Selfish Gene: 40th Anniversary Edition,231.7
2020-03-27,The Hate U Give Collector's Edition,253.45
2020-03-27,"The Temple of Dawn: The Sea of Fertility, 3",278.58
2020-03-27,"The Decay of the Angel: The Sea of Fertility, 4",237.0
